Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
9/25/2020,0.024948703,14.58,6.7,0
9/28/2020,0.025498176,14.58,6.7,0
9/29/2020,-0.009190204,14.58,6.7,0
9/30/2020,0.001224243,14.58,6.7,0
10/1/2020,0.023034693,14.58,6.7,0
10/2/2020,-0.02988272,14.58,6.7,0
10/5/2020,0.023743984,14.58,6.7,0
10/6/2020,-0.031020252,14.58,6.7,0
10/7/2020,0.030881038,14.58,6.7,0
10/8/2020,-0.001608383,14.58,6.7,0
10/9/2020,0.030120152,14.58,6.7,0
10/12/2020,0.047549947,14.58,6.7,0
10/13/2020,0.000203301,14.58,6.7,0
10/14/2020,-0.023208046,14.58,6.7,0
10/15/2020,-0.007450125,14.58,6.7,0
10/16/2020,-0.019750481,14.58,6.7,0
10/19/2020,-0.020013995,14.58,6.7,0
10/20/2020,0.003055631,14.58,6.7,0
10/21/2020,-0.009968905,14.58,6.7,0
10/22/2020,-0.002681382,14.58,6.7,0
10/23/2020,0.008815011,14.58,6.7,0
10/26/2020,0.00082391,14.58,6.7,0
10/27/2020,0.024723745,14.58,6.7,0
10/28/2020,-0.037595143,14.58,6.7,0
10/29/2020,0.015249236,14.58,6.7,0
10/30/2020,-0.054456419,14.58,6.7,0
11/2/2020,-0.010430948,14.58,6.7,0
11/3/2020,0.014621476,14.58,6.7,0
11/4/2020,0.063229685,14.58,6.7,0
11/5/2020,0.024941715,14.58,6.7,0
11/6/2020,-0.003199844,14.58,6.7,0
11/9/2020,-0.050622589,14.58,6.7,0
11/10/2020,-0.034583003,14.58,6.7,0
11/11/2020,0.033729554,14.58,6.7,0
11/12/2020,-0.008640897,14.58,6.7,0
11/13/2020,0.005957672,14.58,6.7,0
11/16/2020,0.000719123,14.58,6.7,0
11/17/2020,0.001469104,14.58,6.7,0
11/18/2020,-0.009631131,14.58,6.7,0
11/19/2020,0.003722495,14.58,6.7,0
11/20/2020,-0.005652873,14.58,6.7,0
11/23/2020,-0.000325873,14.58,6.7,0
11/24/2020,0.006348512,14.58,6.7,0
11/25/2020,0.02149093,14.58,6.7,0
11/27/2020,0.003224425,14.58,6.7,0
11/30/2020,-0.008543707,14.58,6.7,0
12/1/2020,0.016426572,14.58,6.7,0
12/2/2020,-0.005139639,14.58,6.7,0
12/3/2020,-0.00524423,14.58,6.7,0
12/4/2020,-0.007578271,14.58,6.7,0
12/7/2020,-0.001448209,14.58,6.7,0
12/8/2020,0.006108309,14.58,6.7,0
12/9/2020,-0.023003908,14.58,6.7,0
12/10/2020,-0.000872998,14.58,6.7,0
12/11/2020,0.004813793,14.58,6.7,0
12/14/2020,0.013011741,14.58,6.7,0
12/15/2020,0.002581636,14.58,6.7,0
12/16/2020,0.023961127,14.58,6.7,0
12/17/2020,-0.001505691,14.58,6.7,0
12/18/2020,-0.01063947,14.58,6.7,0
12/21/2020,0.001414905,14.58,6.7,0
12/22/2020,0.000106073,14.58,6.7,0.138192105
12/23/2020,-0.006627122,14.58,6.7,0.08446
12/24/2020,-0.003949454,14.58,6.7,0.086077778
12/28/2020,0.035071192,14.58,6.7,0.18764
12/29/2020,0.011583588,14.58,6.7,0.1909
12/30/2020,-0.010881969,14.58,6.7,0.286064706
12/31/2020,-0.008801426,14.58,6.7,0
1/4/2021,-0.021584759,14.58,6.7,0
1/5/2021,0.010004339,14.58,6.7,0
1/6/2021,-0.024896653,14.58,6.7,0
1/7/2021,0.007577167,14.58,6.7,0
1/8/2021,0.006495573,14.58,6.7,0
1/11/2021,-0.021519462,14.58,6.7,0
1/12/2021,0.002125777,14.58,6.7,0
1/13/2021,0.014438407,14.58,6.7,0
1/14/2021,-0.012135584,14.58,6.7,0
1/15/2021,-0.007424522,14.58,6.7,0
1/19/2021,0.005318518,14.58,6.7,0
1/20/2021,0.045700365,14.58,6.7,0
1/21/2021,0.013363479,14.58,6.7,0
1/22/2021,-0.004463276,14.58,6.7,0
1/25/2021,0.000537635,14.58,6.7,0
1/26/2021,0.009754063,14.58,6.7,0
1/27/2021,-0.028125722,14.58,6.7,0
1/28/2021,0.001559138,14.58,6.7,0
1/29/2021,-0.009704711,14.58,6.7,0
2/1/2021,0.042629884,0,9.66,0
2/2/2021,0.011104233,0,9.66,0
2/3/2021,-0.01996153,0,9.66,0
2/4/2021,0.00557579,0,9.66,0.138192105
2/5/2021,0.006349415,0,9.66,0.08446
2/8/2021,-0.008713799,0,9.66,0.086077778
2/9/2021,-0.005398816,0,9.66,0.18764
2/10/2021,-0.00557335,0,9.66,0.1909
2/11/2021,-0.007439403,0,9.66,0.286064706
2/12/2021,0.004776045,0,9.66,0
2/16/2021,-0.002672601,0,9.66,0
2/17/2021,0.012141496,0,9.66,0
2/18/2021,0.005920889,0,9.66,0
2/19/2021,-0.023535056,0,9.66,0
2/22/2021,-0.021280628,0,9.66,0
2/23/2021,0.00432604,0,9.66,0
2/24/2021,-0.010946931,0,9.66,0
2/25/2021,-0.032400425,0,9.66,0
2/26/2021,0.011700408,0,9.66,0
3/1/2021,0.01720374,0,9.66,0
3/2/2021,-0.016404186,0,9.66,0
3/3/2021,-0.028931705,0,9.66,0
3/4/2021,-0.009128097,0,9.66,0
3/5/2021,0.00768744,0,9.66,0
3/8/2021,-0.016167524,0,9.66,0
3/9/2021,0.037568437,0,9.66,0
3/10/2021,-0.001701097,0,9.66,0
3/11/2021,0.018298491,0,9.66,0
3/12/2021,-0.007740292,0,9.66,0
3/15/2021,-0.002527944,0,9.66,0
3/16/2021,0.00330345,0,9.66,0
3/17/2021,0.014188829,0,9.66,0
3/18/2021,-0.034358823,0,9.66,0
3/19/2021,0.015511931,0,9.66,0
