Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
9/25/2020,0.02119989,16.63,1.22,0
9/28/2020,0.007848677,16.63,1.22,0
9/29/2020,0.01935208,16.63,1.22,0
9/30/2020,0.000420128,16.63,1.22,0
10/1/2020,0.018060371,16.63,1.22,0
10/2/2020,-0.025090959,16.63,1.22,-0.082872727
10/5/2020,0.018119533,16.63,1.22,-0.10823125
10/6/2020,-0.022633631,16.63,1.22,0.131254167
10/7/2020,-0.002087716,16.63,1.22,0.24884
10/8/2020,0.021850359,16.63,1.22,0.1062
10/9/2020,0.002616024,16.63,1.22,-0.048425
10/12/2020,0.042730147,16.63,1.22,0
10/13/2020,0.001414378,16.63,1.22,0
10/14/2020,-0.015644264,16.63,1.22,0
10/15/2020,-0.018762438,16.63,1.22,0
10/16/2020,-0.00296194,16.63,1.22,0
10/19/2020,-0.017034554,16.63,1.22,0
10/20/2020,0.023565432,16.63,1.22,0
10/21/2020,0.041747696,16.63,1.22,0
10/22/2020,-0.002188555,16.63,1.22,0
10/23/2020,0.023982502,16.63,1.22,0
10/26/2020,-0.02696732,16.63,1.22,0
10/27/2020,0.022301698,16.63,1.22,0
10/28/2020,-0.055137826,16.63,1.22,0
10/29/2020,0.049164914,16.63,1.22,0
10/30/2020,-0.063098679,16.63,1.22,0
11/2/2020,-0.006651211,16.63,1.22,0
11/3/2020,0.015075003,16.63,1.22,0
11/4/2020,0.083226604,16.63,1.22,0
11/5/2020,0.025401864,16.63,1.22,0
11/6/2020,-0.004309723,16.63,1.22,0
11/9/2020,-0.049896099,16.63,1.22,0
11/10/2020,-0.022742751,16.63,1.22,0
11/11/2020,0.014866272,16.63,1.22,0
11/12/2020,-0.005063746,16.63,1.22,0
11/13/2020,0.006798116,16.63,1.22,0
11/16/2020,0.007257552,16.63,1.22,0
11/17/2020,-0.014195553,16.63,1.22,0
11/18/2020,-0.011018177,16.63,1.22,0
11/19/2020,0.003566574,16.63,1.22,0
11/20/2020,-0.011870705,16.63,1.22,0
11/23/2020,-0.004709008,16.63,1.22,0
11/24/2020,0.031628436,16.63,1.22,0
11/25/2020,-0.004802893,16.63,1.22,0
11/27/2020,0.008055449,16.63,1.22,0
11/30/2020,-0.003023636,16.63,1.22,0
12/1/2020,0.034588535,16.63,1.22,0
12/2/2020,0.003385103,16.63,1.22,0
12/3/2020,-0.019720309,16.63,1.22,0
12/4/2020,-0.007628149,16.63,1.22,0
12/7/2020,0.021022432,16.63,1.22,0
12/8/2020,-0.007633562,16.63,1.22,0
12/9/2020,-0.019336558,16.63,1.22,0
12/10/2020,-0.002878592,16.63,1.22,0
12/11/2020,-0.012882532,16.63,1.22,0
12/14/2020,0.002339663,16.63,1.22,0
12/15/2020,0.004960011,16.63,1.22,0
12/16/2020,0.000435586,16.63,1.22,0
12/17/2020,-0.004316764,16.63,1.22,0
12/18/2020,0.006994983,16.63,1.22,0
12/21/2020,-0.013060729,16.63,1.22,0
12/22/2020,-0.020895238,16.63,1.22,0
12/23/2020,0.003818896,16.63,1.22,0
12/24/2020,-0.002648135,16.63,1.22,0
12/28/2020,0.035901295,16.63,1.22,0
12/29/2020,-0.000794228,16.63,1.22,0
12/30/2020,-0.017739734,16.63,1.22,0
12/31/2020,0.004744946,16.63,1.22,0
1/4/2021,-0.015448825,16.63,1.22,0
1/5/2021,0.007548147,16.63,1.22,0
1/6/2021,-0.028268825,16.63,1.22,0
1/7/2021,0.020622053,16.63,1.22,0
1/8/2021,-0.004353587,16.63,1.22,0
1/11/2021,-0.040101696,16.63,1.22,0
1/12/2021,-0.022387479,16.63,1.22,0
1/13/2021,0.002190462,16.63,1.22,0
1/14/2021,-0.023843586,16.63,1.22,0
1/15/2021,0.023286115,16.63,1.22,0
1/19/2021,0.038749226,16.63,1.22,0
1/20/2021,0.0244351,16.63,1.22,0
1/21/2021,0.020150979,16.63,1.22,0
1/22/2021,0.005973559,16.63,1.22,0
1/25/2021,0.012786921,16.63,1.22,0
1/26/2021,0.014531772,16.63,1.22,-0.082872727
1/27/2021,-0.035135521,16.63,1.22,-0.10823125
1/28/2021,-0.026236548,16.63,1.22,0.131254167
1/29/2021,-0.025169862,16.63,1.22,0.24884
2/1/2021,0.014245436,16.63,10.18,0.1062
2/2/2021,0.019350317,16.63,10.18,-0.048425
2/3/2021,-0.001609977,16.63,10.18,0
2/4/2021,-0.000600051,16.63,10.18,0
2/5/2021,0.006041562,16.63,10.18,0
2/8/2021,-0.005669599,16.63,10.18,0
2/9/2021,0.010766096,16.63,10.18,0
2/10/2021,0.008981194,16.63,10.18,0
2/11/2021,-0.005443707,16.63,10.18,0
2/12/2021,0.000406766,16.63,10.18,0
2/16/2021,0.012828101,16.63,10.18,0
2/17/2021,-0.001459992,16.63,10.18,0
2/18/2021,-0.015279426,16.63,10.18,0
2/19/2021,-0.029065729,16.63,10.18,-0.082872727
2/22/2021,-0.004702596,16.63,10.18,-0.10823125
2/23/2021,0.021242266,16.63,10.18,0.131254167
2/24/2021,-0.005830091,16.63,10.18,0.24884
2/25/2021,-0.036396637,16.63,10.18,0.1062
2/26/2021,0.011504153,16.63,10.18,-0.048425
3/1/2021,0.028297526,16.63,10.18,0
3/2/2021,-0.022309477,16.63,10.18,0
3/3/2021,-0.01386099,16.63,10.18,0
3/4/2021,0.008731103,16.63,10.18,0
3/5/2021,0.025772333,16.63,10.18,0
3/8/2021,-0.033941279,16.63,10.18,0
3/9/2021,0.040852269,16.63,10.18,0
3/10/2021,-0.003160971,16.63,10.18,0
3/11/2021,0.033899627,16.63,10.18,0
3/12/2021,-0.020008803,16.63,10.18,0
3/15/2021,0.019932959,16.63,10.18,0
3/16/2021,0.020200909,16.63,10.18,0
3/17/2021,0.016936447,16.63,10.18,0
3/18/2021,-0.018978256,16.63,10.18,0
3/19/2021,0.041238929,16.63,10.18,0
3/22/2021,0.011823182,16.63,10.18,0
3/23/2021,-0.009913482,16.63,10.18,0
3/24/2021,-0.029212367,16.63,10.18,0
3/25/2021,-0.012050841,16.63,10.18,0
3/26/2021,0.015354807,16.63,10.18,0
3/29/2021,0.027559956,16.63,10.18,0
3/30/2021,-0.009696745,16.63,10.18,0
3/31/2021,0.022673607,16.63,10.18,0
4/1/2021,0.014022357,16.63,10.18,0
4/5/2021,0.034319962,16.63,10.18,0
4/6/2021,-0.008578531,16.63,10.18,0
4/7/2021,0.022301268,16.63,10.18,0
4/8/2021,-0.000223601,16.63,10.18,0
4/9/2021,-0.001789015,16.63,10.18,0
4/12/2021,-0.002944322,16.63,10.18,0
4/13/2021,-0.005713548,16.63,10.18,0
4/14/2021,-0.022404449,16.63,10.18,0
4/15/2021,0.016511459,16.63,10.18,0
4/16/2021,-0.005327836,16.63,10.18,0
4/19/2021,-0.012868256,16.63,10.18,0
4/20/2021,0.00135655,16.63,10.18,0
4/21/2021,-0.003898869,16.63,10.18,0
4/22/2021,-0.016419585,16.63,10.18,0
4/23/2021,0.015547066,16.63,10.18,0
4/26/2021,0.006342788,16.63,10.18,0
4/27/2021,0.00174894,16.63,10.18,0
4/28/2021,0.011628286,16.63,10.18,0
4/29/2021,0.072972983,16.63,10.18,0
4/30/2021,-0.013444275,16.63,10.18,0
5/3/2021,-0.007690415,16.63,10.18,0
5/4/2021,-0.01308203,16.63,10.18,0
5/5/2021,-0.010491257,16.63,10.18,0
5/6/2021,0.015872009,16.63,10.18,0
5/7/2021,-0.002937324,16.63,10.18,0
5/10/2021,-0.041086831,16.63,10.18,0
5/11/2021,0.001830237,16.63,10.18,0
5/12/2021,-0.012984083,16.63,10.18,0
5/13/2021,0.00895727,16.63,10.18,0
5/14/2021,0.034986544,16.63,10.18,0
5/17/2021,-0.001519311,16.63,10.18,0
5/18/2021,-0.017434858,16.63,10.18,0
5/19/2021,0.011711205,16.63,10.18,0
5/20/2021,0.016008129,16.63,10.18,0
5/21/2021,-0.007469867,16.63,10.18,0
5/24/2021,0.026562924,16.63,10.18,0
5/25/2021,0.00973417,16.63,10.18,0
5/26/2021,-0.00039661,16.63,10.18,0
5/27/2021,0.015534384,16.63,10.18,0
5/28/2021,-0.012081109,16.63,10.18,0
6/1/2021,0.001216785,16.63,10.18,0
6/2/2021,6.07E-05,16.63,10.18,0
6/3/2021,-0.009448535,16.63,10.18,0
6/4/2021,0.013219229,16.63,10.18,0
6/7/2021,0.018858727,16.63,1.22,0
6/8/2021,-0.008616062,16.63,1.22,0
6/9/2021,-0.010279288,16.63,1.22,0
6/10/2021,0.006691874,16.63,1.22,0
6/11/2021,-0.003609402,16.63,1.22,0
6/14/2021,0.016633397,16.63,1.22,0
6/15/2021,-5.94E-05,16.63,1.22,0
6/16/2021,-0.016837456,16.63,1.22,0
6/17/2021,0.016400941,16.63,1.22,0
6/18/2021,-0.020356025,16.63,1.22,-0.082872727
6/21/2021,0.007977931,16.63,1.22,-0.10823125
6/22/2021,0.020283457,16.63,1.22,0.131254167
6/23/2021,0.004601356,16.63,1.22,0.24884
6/24/2021,0.00760444,16.63,1.22,0.1062
6/25/2021,-0.005274193,16.63,1.22,-0.048425
6/28/2021,0.041802208,16.63,1.22,0
6/29/2021,-0.01054437,16.63,1.22,0
6/30/2021,-0.011878778,16.63,1.22,0
7/1/2021,0.019211479,16.63,1.22,0
7/2/2021,0.000874736,16.63,1.22,0
7/6/2021,-0.005413063,16.63,1.22,0
7/7/2021,-0.006491322,16.63,1.22,0
7/8/2021,-0.013809228,16.63,1.22,0
7/9/2021,0.013800144,16.63,1.22,0
7/12/2021,0.00781916,16.63,1.22,0
7/13/2021,-0.003029809,16.63,1.22,0
7/14/2021,-0.012667192,16.63,1.22,0
7/15/2021,-0.009118929,16.63,1.22,0
7/16/2021,-0.009580177,16.63,1.22,0
7/19/2021,-0.012340226,16.63,1.22,0
7/20/2021,0.013978309,16.63,1.22,0
7/21/2021,0.013375892,16.63,1.22,0
7/22/2021,0.014325712,16.63,1.22,0
7/23/2021,0.052962801,16.63,1.22,0
7/26/2021,0.007220268,16.63,1.22,0
7/27/2021,-0.012484546,16.63,1.22,0
7/28/2021,0.014871812,16.63,1.22,0
7/29/2021,-0.040077131,16.63,1.22,0
7/30/2021,-0.005637473,16.63,1.22,0
8/2/2021,-0.012208745,16.63,1.22,0
8/3/2021,-0.002017394,16.63,1.22,0
8/4/2021,0.021865458,16.63,1.22,0
8/5/2021,0.011283817,16.63,1.22,0
8/6/2021,0.00148775,16.63,1.22,0
8/9/2021,-0.005226883,16.63,1.22,0
8/10/2021,-0.001327343,16.63,1.22,0
8/11/2021,-0.003239868,16.63,1.22,0
8/12/2021,0.00747306,16.63,1.22,0
8/13/2021,0.001461461,16.63,1.22,0
8/16/2021,0.009306694,16.63,1.22,0
8/17/2021,-0.022124578,16.63,1.22,-0.082872727
8/18/2021,-0.008369368,16.63,1.22,-0.10823125
8/19/2021,-0.000928449,16.63,1.22,0.131254167
8/20/2021,0.011967786,16.63,1.22,0.24884
8/23/2021,0.011074967,16.63,1.22,0.1062
8/24/2021,0.005944691,16.63,1.22,-0.048425
8/25/2021,0.007879415,16.63,1.22,0
8/26/2021,-0.010885229,16.63,1.22,0
8/27/2021,0.022641198,16.63,1.22,0
8/30/2021,0.021549523,16.63,1.22,0
8/31/2021,-0.003362578,16.63,1.22,0
9/1/2021,0.007037753,16.63,1.22,0
9/2/2021,-0.017720166,16.63,1.22,0
9/3/2021,0.002611413,16.63,1.22,0
9/7/2021,0.015733755,16.63,1.22,0
9/8/2021,-0.012062341,16.63,1.22,0
9/9/2021,0.001138842,16.63,1.22,0
9/10/2021,0.001825403,16.63,1.22,0
9/13/2021,-0.005756668,16.63,1.22,0
9/14/2021,5.31E-05,16.63,1.22,0
9/15/2021,-0.00693168,16.63,1.22,0
9/16/2021,-0.0023,16.63,1.22,0
9/17/2021,-0.022355644,16.63,1.22,0
