Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
9/25/2020,0.020715352,6.75,0.12,0
9/28/2020,0.016090931,6.75,0.12,0
9/29/2020,0.005767894,6.75,0.12,0
9/30/2020,0.013273056,6.75,0.12,0
10/1/2020,0.054956725,6.75,0.12,0
10/2/2020,-0.046349855,6.75,0.12,0
10/5/2020,0.034966062,6.75,0.12,0
10/6/2020,-0.028387647,6.75,0.12,0
10/7/2020,0.056911812,6.75,0.12,0
10/8/2020,-0.005367888,6.75,0.12,0
10/9/2020,0.014385424,6.75,0.12,0
10/12/2020,0.000685887,6.75,0.12,0.151915385
10/13/2020,0.026453807,6.75,0.12,0.05798
10/14/2020,-0.022812204,6.75,0.12,0.20086
10/15/2020,0.000904959,6.75,0.12,0.303978571
10/16/2020,-0.020574278,6.75,0.12,0.040728
10/19/2020,-0.000131893,6.75,0.12,0.181881818
10/20/2020,-0.009986411,6.75,0.12,0.06966
10/21/2020,-0.069220807,6.75,0.12,-0.086275
10/22/2020,-0.007811015,6.75,0.12,-0.148
10/23/2020,0.006285654,6.75,0.12,0.133966667
10/26/2020,-8.19E-05,6.75,0.12,0.094961538
10/27/2020,0.001413244,6.75,0.12,0
10/28/2020,-0.005501815,6.75,0.12,0
10/29/2020,0.036957061,6.75,0.12,0
10/30/2020,-0.056464572,6.75,0.12,0
11/2/2020,0.017614674,6.75,0.12,0
11/3/2020,0.006403384,6.75,0.12,0
11/4/2020,0.019970467,6.75,0.12,0
11/5/2020,0.033826335,6.75,0.12,0
11/6/2020,0.001887984,6.75,0.12,0
11/9/2020,-0.08592851,6.75,0.12,0
11/10/2020,0.020701361,6.75,0.12,0
11/11/2020,0.021905755,6.75,0.12,0
11/12/2020,-0.008130289,6.75,0.12,0
11/13/2020,-0.008073613,6.75,0.12,0
11/16/2020,-0.007745817,6.75,0.12,0
11/17/2020,0.003193485,6.75,0.12,0
11/18/2020,0.002413507,6.75,0.12,0
11/19/2020,0.005977718,6.75,0.12,0
11/20/2020,0.007365788,6.75,0.12,0
11/23/2020,-0.023799761,6.75,0.12,0
11/24/2020,0.013134174,6.75,0.12,0
11/25/2020,0.004390315,6.75,0.12,0
11/27/2020,0.013113372,6.75,0.12,0
11/30/2020,-0.001343156,6.75,0.12,0
12/1/2020,0.028286069,6.75,0.12,0
12/2/2020,-0.002378179,6.75,0.12,0
12/3/2020,-0.011641336,6.75,0.12,0
12/4/2020,0.001587893,6.75,0.12,0
12/7/2020,0.035058562,6.75,0.12,0
12/8/2020,-0.006049199,6.75,0.12,0
12/9/2020,-0.037178575,6.75,0.12,0
12/10/2020,0.01517421,6.75,0.12,0
12/11/2020,0.004250743,6.75,0.12,0
12/14/2020,0.03815425,6.75,0.12,0
12/15/2020,-0.005053317,6.75,0.12,0
12/16/2020,0.009715625,6.75,0.12,0
12/17/2020,0.015376421,6.75,0.12,0
12/18/2020,0.00290859,6.75,0.12,0
12/21/2020,-0.010365869,6.75,0.12,0
12/22/2020,-0.002987193,6.75,0.12,0
12/23/2020,-0.024368111,6.75,0.12,0
12/24/2020,-0.000991311,6.75,0.12,0
12/28/2020,0.010020088,6.75,0.12,0
12/29/2020,0.022634459,6.75,0.12,0
12/30/2020,-0.011829578,6.75,0.12,0
12/31/2020,0.030766795,6.75,0.12,0
1/4/2021,-0.033047909,6.75,0.12,0
1/5/2021,-0.003939865,6.75,0.12,0
1/6/2021,-0.038997692,6.75,0.12,0
1/7/2021,0.016783601,6.75,0.12,0
1/8/2021,0.002967202,6.75,0.12,0
1/11/2021,-0.022139475,6.75,0.12,0
1/12/2021,-0.009717504,6.75,0.12,0
1/13/2021,0.02739506,6.75,0.12,0
1/14/2021,-0.013647419,6.75,0.12,0
1/15/2021,-0.005750059,6.75,0.12,0
1/19/2021,0.007610703,6.75,0.12,0
1/20/2021,0.168543436,6.75,0.12,0
1/21/2021,-0.011085718,6.75,0.12,0
1/22/2021,-0.025300157,6.75,0.12,0
1/25/2021,-0.014845009,6.75,0.12,0
1/26/2021,0.009249548,6.75,0.12,0
1/27/2021,-0.068780745,6.75,0.12,0
1/28/2021,0.029276765,6.75,0.12,0
1/29/2021,-0.01152982,6.75,0.12,0
2/1/2021,0.012490774,6.75,9.92,0
2/2/2021,0.016918959,6.75,9.92,0
2/3/2021,-0.015889451,6.75,9.92,0
2/4/2021,0.023560961,6.75,9.92,0
2/5/2021,-0.002481156,6.75,9.92,0
2/8/2021,-0.005210689,6.75,9.92,0
2/9/2021,0.020349731,6.75,9.92,0
2/10/2021,0.00808489,6.75,9.92,0
2/11/2021,-0.010646037,6.75,9.92,0
