Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
9/25/2020,-0.004168259,5.61,2.48,0
9/28/2020,0.000724467,5.61,2.48,0
9/29/2020,0.016328718,5.61,2.48,0
9/30/2020,-0.006410741,5.61,2.48,0
10/1/2020,0.008762179,5.61,2.48,-0.1591
10/2/2020,0,5.61,2.48,0.25718
10/5/2020,0.010028445,5.61,2.48,0.04496
10/6/2020,-0.002032731,5.61,2.48,-0.091375
10/7/2020,0.0188797,5.61,2.48,-0.3182
10/8/2020,-0.002691121,5.61,2.48,0
10/9/2020,0.009791092,5.61,2.48,0
10/12/2020,-0.011604816,5.61,2.48,0
10/13/2020,-0.002008275,5.61,2.48,0
10/14/2020,-0.011919416,5.61,2.48,0
10/15/2020,0.010496612,5.61,2.48,0
10/16/2020,-0.007752003,5.61,2.48,0
10/19/2020,-0.004453151,5.61,2.48,0
10/20/2020,0.008318422,5.61,2.48,0
10/21/2020,0.007315567,5.61,2.48,0
10/22/2020,0.004558634,5.61,2.48,0
10/23/2020,-0.000230735,5.61,2.48,0
10/26/2020,-0.012462569,5.61,2.48,0
10/27/2020,-0.002960191,5.61,2.48,0
10/28/2020,-0.046175513,5.61,2.48,0
10/29/2020,0.006389291,5.61,2.48,0
10/30/2020,-0.02262743,5.61,2.48,0
11/2/2020,0.019237161,5.61,2.48,0
11/3/2020,0.017975264,5.61,2.48,0
11/4/2020,0.022072509,5.61,2.48,-0.159989362
11/5/2020,0.01853321,5.61,2.48,0
11/6/2020,-0.006168214,5.61,2.48,-0.0772
11/9/2020,0.000387701,5.61,2.48,0.083966667
11/10/2020,-0.00961597,5.61,2.48,0.157016667
11/11/2020,-0.000391434,5.61,2.48,0.134775
11/12/2020,-0.00799002,5.61,2.48,0.01238
11/13/2020,0.012950151,5.61,2.48,0.204133333
11/16/2020,0.014265572,5.61,2.48,0
11/17/2020,0.016140403,5.61,2.48,-0.1591
11/18/2020,-0.004387063,5.61,2.48,0.25718
11/19/2020,0.002127031,5.61,2.48,0.04496
11/20/2020,0.008111562,5.61,2.48,-0.091375
11/23/2020,0.008648046,5.61,2.48,-0.3182
11/24/2020,0.004249519,5.61,2.48,0
11/25/2020,0.006236003,5.61,2.48,0
11/27/2020,-0.009517429,5.61,2.48,0.136866667
11/30/2020,0.003351975,5.61,2.48,0
12/1/2020,0.00549376,5.61,2.48,0
12/2/2020,0.001033598,5.61,2.48,0
12/3/2020,0.010178553,5.61,2.48,0
12/4/2020,0.003694658,5.61,2.48,0
12/7/2020,0.011371033,5.61,2.48,0
12/8/2020,0.0026666,5.61,2.48,0
12/9/2020,-0.002371937,5.61,2.48,0
12/10/2020,-0.008718186,5.61,2.48,0
12/11/2020,-0.00123555,5.61,2.48,0
12/14/2020,-0.008223777,5.61,2.48,0
12/15/2020,0.022820733,5.61,2.48,0
12/16/2020,-0.007532824,5.61,2.48,0
12/17/2020,0.015613618,5.61,2.48,0
12/18/2020,-0.022917997,5.61,2.48,0
12/21/2020,0.049096738,5.61,2.48,0
12/22/2020,-0.010901353,5.61,2.48,0
12/23/2020,-0.004843911,5.61,2.48,0
12/24/2020,-0.001128538,5.61,2.48,0
12/28/2020,0.005861588,5.61,2.48,0
12/29/2020,-0.006038069,5.61,2.48,0
12/30/2020,7.07E-05,5.61,2.48,0
12/31/2020,-0.000776836,5.61,2.48,0
1/4/2021,-0.009684096,5.61,2.48,0
1/5/2021,0.008065657,5.61,2.48,0
1/6/2021,0.007930386,5.61,2.48,0
1/7/2021,0.018264745,5.61,2.48,0
1/8/2021,0.009658576,5.61,2.48,0
1/11/2021,0.00478288,5.61,2.48,0
1/12/2021,-0.013600756,5.61,2.48,0
1/13/2021,-0.013857267,5.61,2.48,0
1/14/2021,-0.012164429,5.61,2.48,0
1/15/2021,-0.004104742,5.61,2.48,0
1/19/2021,-0.010304205,5.61,2.48,0
1/20/2021,0.02534654,5.61,2.48,0
1/21/2021,-0.008333342,5.61,2.48,0
1/22/2021,-0.015959197,5.61,2.48,-0.1591
1/25/2021,-0.012917242,5.61,2.48,0.25718
1/26/2021,-0.017811672,5.61,2.48,0.04496
1/27/2021,-0.030199932,5.61,2.48,-0.091375
1/28/2021,0.02823996,5.61,2.48,-0.3182
1/29/2021,-0.008387758,5.61,2.48,0
2/1/2021,0.015869539,6.34,7.28,0
2/2/2021,0.028590316,6.34,7.28,0
2/3/2021,-0.006877257,6.34,7.28,0
2/4/2021,0.014426826,6.34,7.28,0
2/5/2021,0.031856668,6.34,7.28,0
2/8/2021,-0.011715203,6.34,7.28,0
2/9/2021,-0.01129646,6.34,7.28,0
2/10/2021,0.004725543,6.34,7.28,0
2/11/2021,0.00758087,6.34,7.28,0
2/12/2021,-0.009892651,6.34,7.28,0
2/16/2021,-0.002884761,6.34,7.28,0
2/17/2021,0.016089254,6.34,7.28,0
2/18/2021,0.007639293,6.34,7.28,0
2/19/2021,-0.021159296,6.34,7.28,0
2/22/2021,-0.037670719,6.34,7.28,0
2/23/2021,-0.003951185,6.34,7.28,0
2/24/2021,-0.003526084,6.34,7.28,0
2/25/2021,-0.000810909,6.34,7.28,0
2/26/2021,-0.003585476,6.34,7.28,0
3/1/2021,0.021293925,6.34,7.28,0
3/2/2021,-0.004576753,6.34,7.28,0
3/3/2021,-0.020143075,6.34,7.28,0
3/4/2021,-0.016535112,6.34,7.28,0
3/5/2021,0.009921222,6.34,7.28,0
3/8/2021,0.009073924,6.34,7.28,0
3/9/2021,0.010329984,6.34,7.28,0
3/10/2021,0.01206327,6.34,7.28,0
