Date,Returns,Social_Scores,Environment_Scores,Sentiment_Scores
9/25/2020,0.015173429,13.49,3.39,0
9/28/2020,0.020996436,13.49,3.39,0
9/29/2020,-0.01475555,13.49,3.39,0
9/30/2020,0.013207606,13.49,3.39,0
10/1/2020,0.009543603,13.49,3.39,0
10/2/2020,-0.001959694,13.49,3.39,0
10/5/2020,0.021947595,13.49,3.39,0.4019
10/6/2020,-0.016502897,13.49,3.39,0
10/7/2020,0.016549844,13.49,3.39,0
10/8/2020,0.012210392,13.49,3.39,0.260133333
10/9/2020,0.00536128,13.49,3.39,0.3549
10/12/2020,0.008554578,13.49,3.39,-0.0086
10/13/2020,-0.006829612,13.49,3.39,0.4019
10/14/2020,-0.00942782,13.49,3.39,0.10115
10/15/2020,-0.005374401,13.49,3.39,0.2023
10/16/2020,-0.003489942,13.49,3.39,0.268114286
10/19/2020,-0.010393077,13.49,3.39,0
10/20/2020,0.010388151,13.49,3.39,0
10/21/2020,-0.002711708,13.49,3.39,0
10/22/2020,0.012348592,13.49,3.39,0
10/23/2020,0.016114701,13.49,3.39,0
10/26/2020,-0.012555053,13.49,3.39,0
10/27/2020,0.004349713,13.49,3.39,0
10/28/2020,-0.031982272,13.49,3.39,0
10/29/2020,0.012963153,13.49,3.39,0
10/30/2020,-0.015175548,13.49,3.39,0
11/2/2020,-0.01138456,13.49,3.39,0
11/3/2020,0.028149382,13.49,3.39,0
11/4/2020,0.015838877,13.49,3.39,0
11/5/2020,0.009243823,13.49,3.39,0
11/6/2020,0.000330996,13.49,3.39,0
11/9/2020,0.057694345,13.49,3.39,0
11/10/2020,-0.015823061,13.49,3.39,0
11/11/2020,0.011925119,13.49,3.39,0
11/12/2020,-0.015888071,13.49,3.39,0
11/13/2020,0.021704276,13.49,3.39,0
11/16/2020,0.023231541,13.49,3.39,0
11/17/2020,0.008386163,13.49,3.39,0
11/18/2020,-0.006998004,13.49,3.39,0
11/19/2020,-0.001531903,13.49,3.39,0
11/20/2020,-0.007671898,13.49,3.39,0
11/23/2020,-0.001340104,13.49,3.39,0.4019
11/24/2020,0.014657306,13.49,3.39,0
11/25/2020,-0.001017321,13.49,3.39,0
11/27/2020,0.004684366,13.49,3.39,0.260133333
11/30/2020,-0.006487022,13.49,3.39,0.3549
12/1/2020,0.008161663,13.49,3.39,-0.0086
12/2/2020,0.000910771,13.49,3.39,0.4019
12/3/2020,0.012132257,13.49,3.39,0.10115
12/4/2020,0.021676124,13.49,3.39,0.2023
12/7/2020,-0.00850599,13.49,3.39,0.268114286
12/8/2020,-0.001972245,13.49,3.39,0
12/9/2020,-0.008003225,13.49,3.39,0
12/10/2020,0.049701156,13.49,3.39,0
12/11/2020,-0.022677629,13.49,3.39,0
12/14/2020,0.003106805,13.49,3.39,0
12/15/2020,0.00832373,13.49,3.39,0
12/16/2020,-0.008734969,13.49,3.39,0
12/17/2020,-0.000580942,13.49,3.39,0
12/18/2020,0.000678172,13.49,3.39,0
12/21/2020,-0.003291886,13.49,3.39,0
12/22/2020,-0.005148694,13.49,3.39,0
12/23/2020,-0.003417652,13.49,3.39,0
12/24/2020,-0.000489921,13.49,3.39,0
12/28/2020,0.022840834,13.49,3.39,0
12/29/2020,0.012363466,13.49,3.39,0
12/30/2020,0.003218797,13.49,3.39,0
12/31/2020,0.009531038,13.49,3.39,0
1/4/2021,-0.036268502,13.49,3.39,0
1/5/2021,0.003297783,13.49,3.39,0
1/6/2021,0.007250627,13.49,3.39,0
1/7/2021,-0.008062263,13.49,3.39,0
1/8/2021,0.022448002,13.49,3.39,0
1/11/2021,-0.010125918,13.49,3.39,0
